DOM,SQFT,BEDS,BATHS,AGE,zip_cluster
60,1045,2,2.0,29,2171.0
88,716,1,1.0,30,2472.0
8,921,2,2.0,29,1749.0
8,1990,3,1.0,98,2072.0
55,1147,1,1.5,10,1801.0
15,1008,2,1.5,118,2176.0
14,1159,2,2.0,15,1950.0
18,1442,2,2.5,34,1420.0
65,1856,3,2.5,15,2482.0
77,540,1,1.0,54,2035.0
27,1274,2,1.5,36,2151.0
73,1108,2,1.0,34,2139.0
77,300,1,1.0,118,2061.0
42,829,2,1.0,118,2127.0
59,1578,3,2.0,11,1901.0
4,2891,3,2.5,34,2135.0
23,2389,4,2.5,14,1602.0
65,2415,3,2.5,9,2472.0
27,702,2,1.0,118,1950.0
58,1100,3,1.0,118,2169.0
31,1833,2,2.5,14,2152.0
28,1827,3,3.5,119,2151.0
78,1257,2,2.0,11,2536.0
51,627,1,1.0,49,1879.0
42,1171,2,2.0,108,1890.0
52,1195,1,1.5,118,2129.0
2,2213,2,2.5,34,1821.0
36,1394,2,1.5,63,2445.0
61,2100,2,2.5,13,2140.0
77,1874,2,2.5,26,2186.0
5,772,1,1.0,46,2127.0
42,1991,2,2.5,3,2128.0
47,800,1,1.0,50,1510.0
25,1445,2,2.0,138,2127.0
215,831,2,1.0,50,1913.0
36,1054,2,2.0,5,2188.0
19,1042,2,1.0,88,1970.0
64,488,1,1.0,78,1960.0
5,774,1,1.0,41,1569.0
16,2515,2,2.5,29,1510.0
40,1024,2,1.0,104,1718.0
4,640,1,1.0,118,2118.0
15,1237,1,1.0,108,1754.0
57,1134,3,2.0,31,1702.0
68,692,1,1.0,51,1519.0
20,1715,3,2.0,98,2446.0
42,1900,3,2.5,14,1519.0
39,1172,1,2.0,19,2127.0
50,4000,2,2.5,21,1863.0
70,917,2,1.0,92,1923.0
46,1293,2,1.5,20,1747.0
61,1074,2,1.0,137,1845.0
83,1549,2,2.5,14,2144.0
62,1525,3,2.0,29,1923.0
42,1123,2,1.5,102,1524.0
85,912,2,1.5,27,1718.0
101,1577,2,2.0,11,2038.0
14,1155,2,2.0,2,2210.0
17,1068,2,1.5,31,2130.0
49,1590,2,2.5,11,1844.0
25,335,1,1.0,168,2766.0
36,1038,2,1.5,32,1760.0
85,524,1,1.0,45,1960.0
27,1280,2,1.5,29,2139.0
132,814,1,1.0,118,2045.0
88,1520,2,1.5,29,1830.0
54,453,1,1.0,58,2215.0
51,770,1,1.0,48,2116.0
69,1878,2,2.5,14,2118.0
64,1641,3,2.0,12,1520.0
72,1600,2,1.5,12,2446.0
56,1731,3,2.5,15,1970.0
57,1040,2,1.5,33,2125.0
55,1469,3,1.5,168,2129.0
36,1416,2,2.5,145,1915.0
39,984,1,1.0,39,2171.0
65,1158,2,1.5,29,1824.0
64,855,2,1.0,31,2111.0
21,1682,2,1.5,38,1880.0
8,1039,2,1.5,35,2465.0
100,1752,2,2.5,5,2453.0
220,663,1,1.0,47,2155.0
87,861,2,1.0,30,2341.0
86,717,1,1.0,113,2482.0
30,2138,3,2.5,35,1890.0
50,1726,2,2.5,32,2127.0
83,1315,2,1.0,118,2114.0
33,1483,3,2.0,9,2111.0
64,1567,2,2.5,33,1826.0
45,973,2,1.0,29,1905.0
17,1531,2,2.0,43,1851.0
79,1308,2,1.5,31,2131.0
78,1294,2,1.5,50,2050.0
23,815,2,1.0,50,2760.0
27,949,2,2.0,48,2631.0
55,1051,2,1.0,33,2127.0
27,715,1,1.0,52,2210.0
27,1100,3,1.5,118,2131.0
12,1099,2,1.0,103,2035.0
66,1384,2,1.5,27,2127.0
63,922,2,1.5,48,1852.0
31,704,2,1.0,63,2445.0
36,825,2,1.0,83,2135.0
37,428,0,1.0,12,1604.0
47,910,2,1.5,118,1915.0
14,1546,2,1.5,3,2140.0
16,800,1,1.0,30,1450.0
69,2200,2,2.5,31,2478.0
23,1003,2,2.0,98,2493.0
21,1146,3,2.0,98,1960.0
84,2375,3,2.5,3,2127.0
19,1208,2,1.5,108,2138.0
54,1948,3,2.5,37,2136.0
23,777,2,1.0,88,2116.0
6,915,2,1.0,50,2019.0
30,1225,2,2.0,16,2125.0
15,839,2,1.0,118,2492.0
12,1450,2,1.0,31,2067.0
18,1374,2,2.5,32,2130.0
84,1885,2,2.5,43,2128.0
58,2588,4,3.0,17,1824.0
62,1267,2,1.0,118,1701.0
44,894,1,1.0,15,2155.0
15,1410,2,2.0,10,1748.0
110,780,1,1.0,118,1930.0
27,1591,2,2.0,119,1752.0
79,1360,2,1.5,38,1604.0
8,2209,3,2.5,17,1524.0
15,2015,3,2.0,20,2093.0
74,920,2,2.0,128,2149.0
74,1182,2,2.0,128,2452.0
7,1875,3,3.0,168,2130.0
14,1692,3,1.0,103,1749.0
26,960,1,1.0,36,1915.0
167,1863,4,2.0,118,2129.0
19,1393,3,2.0,5,1915.0
39,683,1,1.0,31,2138.0
51,680,1,1.0,148,1721.0
119,1475,3,2.5,3,1826.0
40,640,1,1.0,19,2145.0
7,1015,2,2.0,133,2118.0
50,2041,3,2.5,116,1760.0
23,968,2,1.0,47,2115.0
23,2348,2,2.5,168,2118.0
12,1225,2,1.5,158,2143.0
16,1300,2,2.0,119,2478.0
36,1290,2,2.5,30,2116.0
5,1750,2,2.5,17,2116.0
50,1462,3,1.5,27,1826.0
13,1345,3,2.0,11,1537.0
5,1621,2,2.5,11,1742.0
46,1031,2,1.0,118,2129.0
34,861,3,1.5,108,2110.0
16,805,2,1.0,119,2129.0
53,2157,2,3.0,13,1545.0
84,578,1,1.0,55,1524.0
84,3031,4,2.0,128,1915.0
26,1307,2,1.0,98,1879.0
13,1926,3,1.5,31,1760.0
7,1909,2,2.5,0,2370.0
42,992,2,1.5,34,2180.0
62,860,2,1.0,45,2155.0
17,2367,3,3.5,21,2115.0
8,932,1,1.0,16,2176.0
8,634,1,1.0,52,2474.0
41,2375,3,2.5,13,2130.0
15,787,2,1.0,119,2129.0
63,864,2,1.0,37,2152.0
