DOM,SQFT,BEDS,BATHS,AGE,zip_cluster
21,1324,2,2.0,94,2370.0
19,1250,2,1.5,138,2115.0
30,2331,4,2.5,18,1845.0
48,1004,2,1.0,108,2128.0
58,710,1,1.5,118,1952.0
20,675,1,1.0,128,2145.0
8,4000,4,5.5,118,2131.0
12,1505,2,2.5,118,1890.0
1,611,1,1.0,0,2639.0
17,625,1,1.0,128,1950.0
29,1464,3,2.5,128,1902.0
5,1156,2,1.5,138,1450.0
7,665,1,1.0,98,2464.0
1,1236,3,2.0,158,2184.0
8,840,2,1.0,133,2131.0
5,1046,2,2.0,128,2108.0
22,1807,2,2.0,33,1830.0
220,1355,2,2.0,7,1930.0
156,1096,2,2.0,3,1854.0
49,1873,3,3.0,153,2360.0
240,819,1,1.0,119,2122.0
83,780,1,1.5,118,1748.0
35,1492,2,2.0,108,1453.0
34,1730,3,3.0,158,2472.0
25,1886,2,2.5,118,2144.0
15,1037,1,1.0,119,1845.0
15,1106,2,1.5,119,2169.0
26,730,2,1.0,118,2141.0
4,922,1,1.0,118,1852.0
29,308,0,1.0,128,1752.0
32,810,2,1.0,108,2118.0
62,5456,4,3.0,17,1864.0
0,1089,1,1.0,119,2144.0
96,2419,4,3.0,128,1748.0
20,1020,2,1.0,133,2333.0
17,1820,3,2.5,119,2118.0
54,914,2,1.0,14,2140.0
3,850,2,1.0,119,1778.0
21,1264,2,1.5,118,2446.0
22,2589,4,2.5,128,2148.0
32,568,1,1.0,119,2118.0
49,660,2,1.0,143,2129.0
20,1291,2,2.0,12,2114.0
125,1186,2,1.5,12,1867.0
18,951,3,1.5,128,2113.0
60,1492,2,2.0,108,1960.0
15,648,0,1.0,12,2122.0
15,868,2,1.0,128,2451.0
50,1039,1,1.0,12,2472.0
13,1278,2,2.0,154,2445.0
41,1050,2,1.5,128,1950.0
57,633,2,1.0,32,1841.0
22,1005,2,2.0,128,2054.0
24,1007,2,1.0,128,2176.0
19,1379,2,1.5,113,1880.0
19,1002,2,1.5,118,2134.0
20,886,2,1.0,12,2155.0
42,1086,2,1.0,131,1510.0
46,670,1,1.0,128,1835.0
59,1930,3,3.0,98,1945.0
13,635,1,1.0,119,2451.0
23,1124,1,1.0,19,2478.0
19,735,2,1.0,118,2532.0
18,1290,2,2.5,119,2360.0
22,713,2,1.0,118,1867.0
29,1247,2,2.0,154,2446.0
8,861,1,1.0,18,1970.0
21,2305,3,3.5,128,1913.0
5,2348,3,3.5,108,2129.0
28,1512,3,3.0,119,2130.0
28,593,1,1.0,128,1701.0
13,2278,3,2.5,128,1876.0
15,753,1,1.0,119,2135.0
24,1464,2,2.5,148,1854.0
13,630,1,1.0,128,1864.0
23,808,2,1.0,128,2127.0
17,1400,2,1.5,118,1915.0
4,2163,3,2.5,119,1760.0
29,595,1,1.0,148,2145.0
21,1100,2,2.0,128,1510.0
82,565,1,1.0,118,1876.0
18,1246,3,2.0,98,2127.0
39,1530,3,1.0,113,1701.0
6,1339,2,1.5,13,2113.0
183,1072,2,2.0,118,2445.0
59,1695,3,2.5,14,2116.0
27,1720,3,2.0,17,1721.0
28,826,2,1.5,119,2760.0
4,871,2,1.0,118,2129.0
16,1396,2,2.5,6,1821.0
127,1636,2,2.5,3,2155.0
32,818,2,2.0,108,2143.0
44,1204,2,2.0,2,1915.0
44,1244,2,2.0,2,2762.0
37,733,1,1.0,113,1801.0
18,1014,2,1.0,108,2140.0
16,686,2,1.0,53,2375.0
22,880,2,2.0,108,1453.0
26,1644,3,2.5,12,2132.0
20,1864,3,3.5,2,1760.0
19,1200,2,2.0,13,1867.0
15,1100,3,1.0,109,2127.0
15,1100,3,1.0,109,1588.0
147,0,2,1.5,30,1752.0
100,812,1,1.0,118,1854.0
73,410,0,1.0,88,1752.0
53,1856,2,2.5,118,1841.0
38,625,1,1.0,119,2571.0
57,720,2,1.0,58,1510.0
21,1370,3,2.0,143,1851.0
11,1772,2,2.5,118,2189.0
13,1095,3,1.0,113,1876.0
140,593,2,1.0,108,2048.0
103,1503,2,2.5,2,
85,1313,2,2.0,2,2118.0
89,1346,2,2.0,2,2703.0
102,1078,3,1.0,113,2464.0
32,1223,3,1.0,113,2189.0
37,1275,3,1.0,113,2081.0
27,1255,3,2.0,113,2118.0
14,1506,3,1.5,29,2127.0
7,668,2,1.0,113,1746.0
62,1050,2,2.0,2,1851.0
62,1585,2,2.5,2,2445.0
9,1151,2,1.5,113,2139.0
5,1514,3,1.5,16,2129.0
36,726,2,1.0,118,2446.0
56,1902,4,2.5,17,2130.0
269,845,2,1.0,119,1950.0
17,1417,3,2.5,9,1852.0
6,1101,2,2.0,3,1746.0
220,1903,2,2.5,3,1545.0
163,1872,2,2.5,3,2151.0
0,1072,2,2.0,3,1752.0
85,1340,2,2.0,128,1453.0
75,1768,3,3.0,118,1568.0
31,856,2,1.0,128,1450.0
55,1440,2,1.5,128,1867.0
6,1581,3,2.0,6,1845.0
38,1167,1,1.5,12,2472.0
75,1362,3,2.0,2,2356.0
57,1140,2,2.0,128,2155.0
57,1140,2,2.0,128,2130.0
15,458,1,1.0,128,2126.0
15,1500,3,3.0,0,2127.0
7,643,2,1.0,128,1830.0
21,910,2,2.0,7,2474.0
6,848,2,1.0,113,2191.0
47,831,1,1.0,118,2346.0
20,1220,3,2.0,143,2072.0
21,817,2,2.0,128,2351.0
26,773,2,1.0,98,2130.0
27,1090,2,1.5,128,2138.0
91,641,1,1.0,128,2129.0
43,1131,2,2.0,108,2110.0
6,1292,2,2.0,18,2155.0
58,1106,2,2.0,17,1747.0
25,1157,1,1.0,11,1702.0
17,1241,2,2.5,133,1748.0
9,1283,2,2.0,15,1453.0
20,943,1,1.5,11,1950.0
23,852,2,1.0,29,2140.0
36,1096,2,2.0,25,2766.0
30,1393,2,2.5,128,2109.0
41,1583,4,1.0,128,2130.0
12,1668,3,2.0,5,1923.0
16,1227,2,2.0,12,2453.0
15,461,1,1.0,128,1949.0
12,1167,2,1.0,118,2467.0
5,907,2,1.5,98,1832.0
13,1279,2,2.5,118,1970.0
13,1242,2,2.0,12,1536.0
35,1850,2,2.0,11,1545.0
6,919,2,2.0,128,2127.0
18,810,1,1.0,15,1569.0
31,941,2,1.5,128,1970.0
11,639,2,1.0,98,1832.0
34,1159,2,2.0,11,2135.0
6,893,2,1.5,13,1907.0
5,1609,2,2.0,4,2131.0
22,739,2,1.0,128,1945.0
49,698,2,1.0,118,1760.0
19,1866,3,3.0,32,2445.0
31,853,2,1.5,113,2130.0
39,831,2,1.0,128,2169.0
7,1220,2,2.0,16,2125.0
7,887,1,1.0,10,2113.0
7,982,1,1.0,10,1810.0
2,1409,2,2.0,10,2139.0
4,1212,2,2.0,12,1721.0
0,956,2,2.0,118,1749.0
121,779,1,1.0,108,2176.0
110,904,2,1.0,113,2461.0
23,573,2,1.0,108,1453.0
91,1033,2,2.0,33,2130.0
14,1359,3,2.0,158,2045.0
55,887,2,1.0,118,2184.0
7,990,1,1.0,108,1835.0
56,1683,3,2.0,119,1826.0
41,848,2,1.0,88,1420.0
22,1100,2,1.0,108,2127.0
242,580,1,1.0,133,2144.0
105,678,1,1.0,143,2110.0
42,1015,2,1.0,113,2138.0
49,970,2,2.0,2,2176.0
90,1039,2,1.5,158,2718.0
64,2516,3,3.5,31,1604.0
45,1012,3,1.0,143,1432.0
124,940,2,2.0,119,1845.0
62,1112,2,1.5,133,2472.0
17,960,2,1.0,168,2188.0
2,949,2,1.0,118,1970.0
13,696,2,1.0,143,1550.0
26,992,2,1.0,118,2143.0
34,600,1,1.0,118,2210.0
12,794,2,1.0,133,2127.0
27,634,1,1.0,118,2129.0
20,844,2,1.0,148,1915.0
21,1470,2,2.5,118,2124.0
13,1255,2,2.0,143,2128.0
7,985,2,2.0,138,2129.0
13,741,1,1.0,133,1453.0
13,1593,2,3.0,163,1570.0
40,969,2,2.0,98,1835.0
7,994,2,2.0,18,2109.0
41,1383,2,2.0,16,2127.0
20,675,1,1.0,143,2141.0
22,1115,2,2.0,143,2141.0
14,1846,3,2.5,143,2324.0
37,706,1,1.0,119,1510.0
7,940,2,1.0,119,2351.0
189,1100,2,2.0,3,2021.0
218,1028,2,1.0,30,2720.0
6,931,2,1.0,118,2446.0
113,1404,3,2.5,3,1970.0
31,730,2,1.0,72,2129.0
51,2074,3,2.5,15,1420.0
62,1683,3,2.5,14,1863.0
26,1173,3,1.0,113,1970.0
48,1041,2,1.0,98,1778.0
106,1988,4,3.0,118,2453.0
116,1120,2,1.5,138,2536.0
68,1230,2,1.0,123,2151.0
8,1140,3,1.0,120,2118.0
35,845,1,1.0,55,2184.0
2,787,2,1.0,47,1754.0
83,750,2,1.0,113,1902.0
83,1527,3,1.0,113,1867.0
21,996,2,1.0,108,2139.0
22,2123,4,2.0,98,1752.0
13,908,2,1.0,113,1852.0
30,2420,5,3.0,88,2127.0
14,897,2,1.0,113,2169.0
14,785,2,1.0,91,2152.0
17,813,2,1.0,91,1854.0
56,713,1,1.0,108,2780.0
56,1003,2,1.0,113,2333.0
5,1075,3,1.0,118,2639.0
19,1035,2,2.0,108,2115.0
41,1002,2,2.0,108,2131.0
18,1128,2,2.0,133,2072.0
13,1080,2,1.0,98,2360.0
62,1234,2,1.0,118,2118.0
20,1686,2,2.5,13,2649.0
81,926,2,1.5,98,2118.0
42,2220,4,1.0,113,2113.0
6,1279,2,1.0,128,2143.0
14,802,2,1.0,113,2171.0
49,1065,2,2.0,113,2127.0
14,964,2,1.0,98,2446.0
7,991,2,1.0,93,1519.0
51,1515,4,2.5,88,1810.0
19,1360,2,1.5,88,2155.0
41,798,2,1.5,113,2115.0
19,2071,3,2.0,113,2048.0
6,590,1,1.0,32,2762.0
7,1367,3,2.0,13,1905.0
16,1150,2,1.0,108,2131.0
20,1096,2,2.0,128,1550.0
48,698,1,1.0,113,2460.0
21,883,2,1.0,108,1850.0
6,1135,2,1.0,98,2368.0
52,1711,3,2.5,108,1940.0
15,889,2,1.0,103,1420.0
20,1229,3,2.0,5,2130.0
6,845,1,1.0,55,2116.0
48,1050,2,2.0,98,2155.0
19,1100,2,2.0,94,2130.0
5,1690,3,2.5,5,1742.0
19,1528,2,2.0,12,1569.0
12,960,2,1.0,113,2110.0
33,945,2,1.0,12,2649.0
15,1277,3,1.0,103,2128.0
14,1211,2,2.0,149,2482.0
5,963,2,1.0,93,1810.0
38,1005,2,1.0,113,2145.0
18,390,1,1.0,98,1915.0
15,829,2,1.0,108,2169.0
19,931,2,1.0,12,2476.0
231,1702,3,2.5,108,2368.0
140,745,2,1.0,103,2360.0
76,746,2,1.0,98,2631.0
86,860,2,1.0,88,1841.0
13,951,2,1.0,93,2472.0
43,1100,3,1.5,98,2190.0
9,781,1,1.0,148,1915.0
14,1168,2,1.0,113,2478.0
6,1092,2,1.0,82,2169.0
54,762,1,1.0,12,1826.0
3,1114,2,1.0,113,2180.0
6,1360,3,1.0,119,2119.0
28,785,2,1.0,93,2129.0
45,934,2,1.0,93,1845.0
45,934,2,1.0,93,2139.0
45,851,2,1.0,93,2127.0
131,1500,3,2.0,3,1923.0
97,1179,2,2.0,32,2127.0
213,2132,4,2.0,98,2134.0
30,1044,2,1.5,8,2131.0
56,567,1,1.0,93,2118.0
6,1149,2,1.5,9,2210.0
69,1185,3,1.0,123,2127.0
17,1440,2,2.5,30,1880.0
27,1620,2,2.0,32,2116.0
25,814,2,1.5,29,2149.0
12,628,1,1.0,98,2139.0
13,580,2,1.0,88,2151.0
4,675,2,1.0,98,2453.0
35,1053,3,1.0,58,1719.0
24,691,2,1.0,93,1752.0
33,695,1,1.0,93,1890.0
10,1367,2,2.0,94,1721.0
10,1301,2,1.0,98,2128.0
113,782,1,1.0,3,2532.0
50,675,1,1.0,108,2062.0
0,1383,3,2.0,128,2129.0
56,799,2,1.0,53,1702.0
8,760,2,1.0,55,2130.0
18,980,1,1.0,88,1420.0
15,556,1,1.0,98,2180.0
6,610,1,1.0,98,2143.0
6,545,1,1.0,98,1537.0
3,898,2,1.0,83,1520.0
5,429,1,1.0,0,2639.0
50,349,1,1.0,98,2122.0
24,1728,3,2.0,2,2131.0
19,988,2,2.0,3,2116.0
28,539,1,1.0,88,2382.0
9,992,2,1.0,91,1588.0
8,1037,2,1.0,98,1938.0
20,1080,2,2.0,16,1826.0
26,568,1,1.0,93,2119.0
93,740,2,1.0,53,1970.0
22,1374,3,2.5,16,2072.0
25,1114,2,2.0,36,2445.0
6,4145,5,4.5,162,2368.0
18,1348,2,2.0,104,1719.0
6,1428,2,1.0,138,2169.0
19,707,2,1.0,108,2110.0
28,1949,3,2.5,105,2122.0
5,2247,3,2.5,124,2472.0
22,1147,3,1.0,106,2169.0
6,760,1,1.0,12,2118.0
17,763,2,1.0,131,2126.0
62,575,1,1.0,118,2066.0
9,2000,3,2.0,33,1760.0
6,1668,3,3.0,118,1826.0
13,1488,3,2.0,104,2536.0
7,1180,2,2.0,46,2360.0
2,1382,2,2.0,54,2144.0
8,1248,2,2.0,58,1826.0
14,938,2,1.0,91,2478.0
15,1584,3,2.0,98,2176.0
7,1714,3,2.5,37,2132.0
20,1057,2,1.5,40,2148.0
6,900,2,1.0,109,2134.0
7,5215,5,4.5,162,2446.0
21,715,1,1.0,93,2351.0
7,713,1,1.0,108,2136.0
14,1034,2,2.0,88,1960.0
25,2480,3,4.0,168,2125.0
21,2160,5,2.0,103,1524.0
7,1184,2,2.0,145,2478.0
15,1260,2,1.0,177,1907.0
16,1500,3,2.5,2,2780.0
55,1614,2,2.5,130,2127.0
42,1071,3,1.0,118,1913.0
6,1100,1,1.5,24,2140.0
19,1552,3,2.0,92,2446.0
41,1005,2,1.0,115,2129.0
36,1506,2,2.5,108,2118.0
60,929,3,1.0,114,1537.0
15,677,1,1.0,83,1432.0
17,1040,2,1.0,93,2180.0
13,1196,2,2.0,133,1970.0
24,1330,2,2.0,115,1970.0
7,977,2,1.0,124,2124.0
12,922,2,2.0,12,1854.0
26,1010,2,1.5,132,1749.0
12,343,0,1.0,40,1852.0
26,813,2,1.5,116,2151.0
33,1082,2,2.0,13,1450.0
12,1918,2,2.5,78,2118.0
47,2989,5,2.5,145,2143.0
6,1214,3,1.0,111,1841.0
19,621,1,1.0,11,2703.0
179,2221,4,2.0,88,2155.0
47,1599,3,3.0,91,2054.0
7,1009,2,1.0,107,2130.0
7,1217,2,2.0,52,1960.0
9,1232,3,2.0,20,2127.0
24,996,2,1.0,145,2067.0
40,2076,4,3.5,13,2119.0
15,965,2,2.0,4,1721.0
6,1045,2,2.0,106,1923.0
16,869,2,1.0,118,1970.0
28,925,2,1.0,98,1701.0
14,992,2,1.5,103,1721.0
54,655,1,1.0,20,2062.0
6,655,2,1.0,98,1913.0
28,816,1,1.0,12,1501.0
42,1750,3,2.0,108,2110.0
56,683,1,1.0,12,2215.0
34,1050,2,2.0,20,2093.0
38,711,2,1.0,118,2129.0
22,941,2,1.0,132,2021.0
13,893,2,1.0,132,1801.0
21,1020,2,1.5,118,1453.0
9,838,1,1.0,32,2135.0
21,663,1,1.0,20,1950.0
13,1011,2,2.0,20,1801.0
8,1705,2,2.0,29,1821.0
42,970,2,1.5,29,2124.0
20,644,0,1.0,29,1757.0
61,1100,2,2.5,3,2453.0
92,2961,3,3.0,16,1420.0
129,1051,2,2.0,2,2135.0
40,1050,2,2.0,108,2127.0
31,1023,2,2.0,135,1550.0
15,1357,3,2.0,128,1754.0
50,1673,3,2.5,15,2472.0
75,1742,3,2.0,118,1801.0
8,1071,2,1.0,118,2144.0
15,991,2,1.0,113,2639.0
20,1534,3,2.0,103,2532.0
7,1904,2,2.5,5,2370.0
64,1081,2,1.0,125,2190.0
7,1102,2,1.0,122,1950.0
53,1170,3,1.0,40,1949.0
16,646,2,1.0,118,2124.0
49,961,2,1.0,118,1821.0
14,637,2,1.0,118,1970.0
21,1148,2,2.0,128,2139.0
36,919,2,1.0,12,2134.0
55,1255,2,1.0,119,1876.0
29,672,2,1.0,63,1826.0
1,889,1,1.5,118,2139.0
256,665,1,1.0,52,2368.0
151,535,2,1.0,108,2150.0
16,1500,2,2.5,5,2125.0
8,1040,3,2.0,113,2180.0
52,1311,2,1.0,113,1852.0
5,1600,2,2.0,13,2131.0
46,1120,2,1.5,100,1583.0
7,1066,2,2.0,113,2135.0
47,926,2,2.0,113,1952.0
11,1216,2,1.0,113,1930.0
16,890,2,1.0,122,1824.0
12,910,2,1.0,113,1450.0
20,785,2,1.0,108,1845.0
5,1902,3,2.5,17,2145.0
206,1534,2,2.5,0,1851.0
194,1950,3,3.0,168,2540.0
99,1422,2,2.0,3,2045.0
72,1384,2,2.0,3,1902.0
57,1422,2,2.0,3,2767.0
50,1353,1,2.0,3,2143.0
78,740,1,1.0,118,2125.0
100,1358,2,2.0,5,1960.0
42,812,2,2.0,119,1821.0
27,1516,2,2.0,113,2190.0
60,1478,2,2.5,118,1952.0
49,1076,2,1.0,12,2118.0
88,1517,2,2.0,113,2066.0
22,1008,2,2.5,113,2139.0
19,728,2,2.0,128,2127.0
69,1842,3,2.5,106,2144.0
28,1175,2,1.5,128,2155.0
22,1262,2,1.5,113,2152.0
29,1140,1,1.5,12,1887.0
21,900,2,1.0,118,1852.0
16,625,2,1.0,118,1902.0
34,830,2,1.5,128,1905.0
63,1002,1,1.0,12,2190.0
41,1540,2,3.0,15,2136.0
15,1039,2,1.5,14,2472.0
40,2542,3,2.5,118,2054.0
54,1342,3,2.0,138,2135.0
18,1300,2,1.5,118,2135.0
1,991,1,1.0,2,2360.0
7,937,1,1.0,10,1950.0
14,1384,2,2.0,10,2111.0
14,1877,2,2.0,10,2474.0
17,936,2,2.0,18,2169.0
2,1717,2,2.0,10,2446.0
2,1168,2,2.0,10,2356.0
49,1515,2,2.0,8,2482.0
14,1298,2,2.0,5,1854.0
27,1379,2,1.0,118,2176.0
49,1315,3,2.0,113,1810.0
46,906,2,1.0,9,2169.0
14,1520,3,2.0,118,1824.0
20,655,1,1.0,128,2114.0
37,1474,2,2.0,10,1970.0
20,950,2,2.0,113,1915.0
12,1132,2,2.5,118,2111.0
3,1181,2,2.0,118,2356.0
7,795,2,1.5,108,2472.0
36,1326,2,2.5,113,2703.0
44,1108,2,1.0,18,1930.0
34,946,2,2.0,7,2474.0
41,782,2,1.0,118,2465.0
32,490,1,1.0,118,2472.0
14,856,2,1.0,112,2135.0
82,916,2,1.0,128,1760.0
82,809,2,1.0,128,2139.0
93,915,2,1.5,119,2111.0
28,903,2,1.0,108,2139.0
58,760,2,1.0,108,2118.0
14,1070,2,1.0,118,2150.0
16,873,1,1.0,108,1915.0
45,948,2,1.0,98,1960.0
12,624,2,1.0,113,2145.0
39,840,2,1.0,98,1747.0
43,1220,2,2.0,58,1801.0
98,1380,3,3.0,119,2169.0
168,2605,3,3.5,35,2119.0
69,733,2,1.0,18,2453.0
93,684,1,1.0,119,2141.0
14,1631,2,2.0,143,2127.0
7,745,1,1.0,128,1832.0
29,1640,3,2.5,143,1864.0
25,2600,3,2.5,153,2718.0
71,1332,2,2.0,143,2114.0
29,2182,3,2.5,191,1545.0
7,1046,3,2.0,98,1588.0
9,1042,2,2.0,118,2150.0
54,660,1,1.0,128,1876.0
17,766,2,1.0,98,2131.0
17,1556,3,2.0,27,2143.0
46,730,2,1.0,17,1752.0
27,2040,3,2.5,143,2019.0
18,640,1,1.0,18,2148.0
23,885,1,1.0,110,2119.0
33,1068,2,1.0,110,1907.0
123,2754,4,3.5,11,2129.0
42,1024,2,1.0,98,1830.0
37,925,2,1.0,92,2135.0
50,2707,3,2.5,16,2152.0
20,1795,3,2.5,15,2601.0
52,1290,3,1.0,118,2134.0
23,1570,3,2.5,55,2780.0
17,591,1,1.0,123,2115.0
6,1050,2,1.0,108,2631.0
8,581,1,1.0,83,2639.0
21,1322,3,1.5,113,2453.0
21,695,1,1.0,58,2130.0
18,930,2,1.0,113,1432.0
80,810,1,1.0,55,1606.0
28,943,2,1.0,108,2476.0
14,1060,2,2.0,143,1832.0
12,398,1,1.0,108,2118.0
30,2084,4,2.5,113,1970.0
28,1110,2,1.0,88,1901.0
23,995,2,1.0,88,1913.0
21,1181,3,2.0,14,1890.0
17,1440,2,2.0,108,1568.0
33,2473,3,1.0,130,2038.0
36,550,1,1.0,92,1970.0
13,2410,3,2.5,18,2021.0
20,1310,3,1.0,108,2360.0
5,1263,3,2.0,17,2072.0
62,1113,3,2.0,118,1545.0
4,1521,2,2.0,39,1752.0
23,1292,3,1.0,98,1748.0
20,1113,2,1.5,98,2148.0
17,934,2,1.0,83,2301.0
24,1075,3,1.0,98,2453.0
18,1008,3,2.0,113,2043.0
20,1008,3,2.0,113,2115.0
13,1178,3,2.0,113,2132.0
6,1020,2,1.0,118,1863.0
20,1326,2,1.0,113,2045.0
15,1126,2,2.0,98,2446.0
43,1210,2,2.0,92,2476.0
6,1433,3,1.0,113,2110.0
5,1044,2,2.0,113,2115.0
8,1478,3,1.0,88,2472.0
6,1021,3,1.0,113,1970.0
20,2171,2,1.5,118,2124.0
27,974,2,1.0,113,1841.0
31,1084,3,1.0,118,2021.0
8,674,2,1.0,-7981,2127.0
220,1729,3,2.5,29,2143.0
242,2299,4,3.5,2,2138.0
117,1245,2,2.0,12,2043.0
41,1443,2,1.0,108,2370.0
33,1750,3,3.5,2,1915.0
77,1309,3,1.5,12,1867.0
25,712,2,1.0,98,1830.0
40,933,3,1.0,113,1545.0
34,931,3,1.0,113,1830.0
49,931,3,1.0,113,2324.0
21,2350,3,3.0,10,1970.0
36,1500,3,1.0,98,2446.0
30,978,2,1.0,108,2184.0
28,945,2,1.0,108,1880.0
7,1924,3,2.0,108,2124.0
16,1585,3,2.5,17,2131.0
37,1592,3,2.5,6,2124.0
25,1500,3,3.0,134,2021.0
4,1075,2,1.0,96,1824.0
49,1511,3,1.0,90,1701.0
16,1020,2,1.0,108,2445.0
17,1208,2,2.0,103,1876.0
19,1116,2,2.0,98,1970.0
6,1183,2,2.0,93,2532.0
46,1940,3,2.5,6,2151.0
20,620,1,1.0,49,1950.0
15,1055,2,2.0,32,1890.0
3,1260,2,2.0,14,2190.0
35,2446,3,2.0,98,2130.0
49,883,2,1.0,32,2474.0
65,2155,4,2.0,119,1826.0
46,1200,2,2.0,68,2360.0
31,2503,4,2.5,98,2571.0
19,901,1,1.0,9,2139.0
20,1113,2,2.0,31,2184.0
50,941,2,1.0,8,2144.0
18,1463,2,1.5,35,2138.0
3,860,2,1.0,48,2210.0
37,785,2,1.0,58,2368.0
115,375,1,1.0,118,2142.0
66,1500,3,1.5,128,2420.0
6,997,2,1.0,30,2135.0
18,903,2,1.5,29,2122.0
5,907,2,1.0,0,2130.0
20,562,1,1.0,98,1907.0
37,944,2,1.5,29,1420.0
11,669,1,1.0,29,2139.0
28,364,0,1.0,83,2019.0
13,1050,3,2.0,55,2129.0
16,540,1,1.0,88,2114.0
6,1119,2,2.0,129,2021.0
18,1345,2,2.0,92,2446.0
15,1112,2,2.0,15,2472.0
66,837,3,1.0,118,2476.0
26,1380,3,2.5,119,2081.0
1,766,2,1.0,98,2026.0
20,543,1,1.0,108,1970.0
9,722,1,1.0,53,1852.0
44,760,2,1.0,78,1913.0
21,1120,2,1.0,93,1453.0
7,829,2,1.0,55,1810.0
6,540,1,1.0,108,2150.0
8,735,2,1.0,53,2144.0
21,523,1,1.0,88,2360.0
15,821,2,1.0,55,2021.0
4,570,1,1.0,83,1810.0
6,862,1,1.0,78,2780.0
16,872,2,1.0,88,2140.0
7,360,1,1.0,88,2461.0
216,1320,3,1.0,83,1569.0
22,1168,1,1.0,110,2351.0
15,655,1,1.0,53,1863.0
47,2600,3,4.5,2,1841.0
41,738,2,1.0,48,1749.0
6,340,0,1.0,118,2129.0
20,1524,3,2.0,32,2135.0
5,619,1,1.0,48,1752.0
6,777,2,1.0,98,2035.0
19,800,2,1.0,113,2043.0
6,900,2,1.0,109,2464.0
104,1355,2,2.5,116,2130.0
8,1927,3,3.5,32,2138.0
6,558,1,1.0,53,2038.0
12,793,1,1.5,164,2111.0
8,865,2,1.0,126,2139.0
7,1259,2,2.0,148,2143.0
12,1525,2,1.5,116,2072.0
6,1390,3,1.5,93,2119.0
13,592,1,1.0,53,2149.0
52,1413,3,2.0,102,2118.0
9,871,2,1.5,40,2135.0
8,1361,3,2.0,118,1970.0
19,910,2,1.0,102,1602.0
21,804,2,1.0,124,1915.0
28,826,2,2.0,118,1588.0
17,1378,3,3.0,13,1757.0
26,1274,3,2.0,124,2111.0
10,937,2,1.0,118,2464.0
6,1504,3,2.0,8,2458.0
6,1085,2,1.0,98,1930.0
34,458,1,1.0,108,1760.0
36,1036,3,2.0,118,2131.0
27,508,1,1.0,54,1721.0
40,1516,2,2.5,14,1852.0
36,694,1,1.0,13,2127.0
48,1155,2,2.0,12,1950.0
21,1066,3,2.0,115,2474.0
8,1022,2,1.0,118,2420.0
24,2422,3,3.0,108,2111.0
23,615,1,1.0,113,2190.0
7,1153,2,2.0,13,1581.0
27,1197,2,1.0,115,1748.0
12,1081,3,2.0,109,2081.0
10,1681,3,2.5,91,1721.0
213,1137,1,2.0,157,1913.0
39,661,1,1.0,20,1520.0
31,1103,2,2.0,10,2124.0
46,1046,2,2.0,20,1876.0
55,1287,2,2.0,32,1752.0
14,670,1,1.0,88,1851.0
59,644,1,1.0,32,2048.0
18,1055,2,2.0,20,1832.0
7,1105,2,2.0,32,2115.0
23,962,1,2.0,116,2093.0
20,507,2,1.0,128,2108.0
35,977,2,2.0,88,2125.0
12,1112,2,2.0,12,1832.0
19,1210,2,2.0,29,2150.0
151,1605,3,2.0,108,2762.0
126,1560,3,2.0,108,2446.0
125,1449,3,2.0,108,2458.0
117,1431,2,2.0,20,1906.0
27,1378,2,1.0,108,1752.0
78,1061,2,2.0,2,1420.0
54,1185,2,2.0,2,2048.0
7,1135,3,1.0,108,2445.0
6,1150,2,1.5,5,1583.0
21,720,2,1.0,122,2155.0
11,1420,3,2.0,2,2360.0
18,1427,3,2.0,2,2116.0
64,2102,3,3.5,2,1821.0
64,1183,2,2.0,2,2110.0
0,1427,3,2.0,2,2176.0
30,1123,3,2.0,108,2151.0
15,1289,3,2.0,108,1852.0
7,904,2,1.0,118,2116.0
7,800,2,1.0,118,2130.0
6,1194,2,2.0,31,1747.0
14,878,2,2.0,32,2134.0
19,1053,2,2.0,31,2140.0
3,1070,2,1.0,118,2038.0
65,2050,3,2.5,118,2474.0
55,855,1,1.5,94,1949.0
7,690,1,1.0,59,2125.0
51,1891,3,2.5,113,2130.0
8,1065,2,1.0,96,2129.0
35,2068,3,3.0,118,1930.0
64,1450,3,2.5,98,2171.0
7,1372,3,2.0,118,2482.0
21,610,1,1.0,118,2067.0
3,1189,2,1.0,98,2125.0
12,1606,3,2.5,118,2127.0
18,1998,2,1.0,88,1742.0
12,1489,1,1.5,148,2155.0
27,930,2,1.0,118,2066.0
22,940,2,1.0,118,1810.0
20,856,2,1.0,118,1890.0
17,856,2,1.0,118,2780.0
20,1365,2,2.0,98,1746.0
20,1065,2,1.0,98,1821.0
59,686,2,1.0,128,1604.0
30,925,2,2.0,98,2476.0
13,1317,2,2.5,13,2446.0
28,1298,2,2.0,118,2453.0
81,982,2,1.5,32,2452.0
60,532,1,1.0,93,2420.0
32,1002,2,1.5,39,1510.0
22,566,1,1.0,51,2045.0
48,1190,2,1.5,38,2127.0
14,743,2,1.0,45,2148.0
41,1011,2,1.5,32,2127.0
60,750,2,0.5,134,1845.0
15,1057,2,2.0,31,2130.0
15,590,1,1.5,48,2111.0
38,889,1,1.5,31,1952.0
44,697,2,1.0,39,2144.0
26,1878,3,2.5,11,2108.0
160,2356,3,2.5,12,1970.0
133,1705,3,2.5,13,2138.0
228,1056,2,1.5,29,2144.0
58,2251,4,2.0,118,2171.0
